,feats_hillshade_Cp1,feats_hillshade_Cp2,feats_hillshade_Cp3,class,clusters,Cp_Product,reordered_cluster,geometry,x,y
171,2.4935818,-4.1164436,-3.5022712,0,0,60045120.0,0,POINT (15893741 -4746242),15893741.0,-4746242.0
172,2.3105469,-6.2024345,-3.3153477,0,3,242119740.0,4,POINT (15893741 -4745642),15893741.0,-4745642.0
173,2.044314,-5.0956864,-2.1025152,0,3,5040194.0,4,POINT (15893741 -4745042),15893741.0,-4745042.0
174,2.0820932,-5.2188444,-4.173035,0,4,191704740.0,5,POINT (15893741 -4744442),15893741.0,-4744442.0
175,2.633994,-3.951044,-3.9658828,0,0,119765770.0,0,POINT (15893741 -4743842),15893741.0,-4743842.0
176,2.2619805,-4.5292573,-3.17165,0,0,36224750.0,0,POINT (15893741 -4743242),15893741.0,-4743242.0
177,2.6998692,-6.3096237,-3.9570293,0,1,1391801500.0,9,POINT (15893741 -4742642),15893741.0,-4742642.0
178,1.9424787,-4.97268,-2.9312391,0,0,18196596.0,0,POINT (15893741 -4742042),15893741.0,-4742042.0
179,2.6756077,-5.721451,-4.684166,0,2,1895852400.0,8,POINT (15893741 -4741442),15893741.0,-4741442.0
180,3.1390228,-5.5433054,-4.848715,0,2,4275132200.0,8,POINT (15893741 -4740842),15893741.0,-4740842.0
181,1.8705349,-4.9628344,-2.1389122,0,0,3086332.0,0,POINT (15893741 -4740242),15893741.0,-4740242.0
182,2.8920841,-5.585454,-2.2772222,0,3,67355660.0,4,POINT (15893741 -4739642),15893741.0,-4739642.0
183,3.2776341,-4.533622,-4.311473,0,2,1079336700.0,8,POINT (15893741 -4739042),15893741.0,-4739042.0
184,2.3202877,-5.2475414,-2.0413723,0,3,9486361.0,4,POINT (15893741 -4738442),15893741.0,-4738442.0
185,2.5482244,-7.047203,-4.428421,0,1,3180656600.0,9,POINT (15893741 -4737842),15893741.0,-4737842.0
186,2.6610332,-5.5024014,-4.9289737,0,2,1957921200.0,8,POINT (15893741 -4737242),15893741.0,-4737242.0
187,2.5259004,-4.913472,-5.046273,0,2,963557060.0,8,POINT (15893741 -4736642),15893741.0,-4736642.0
188,1.4545016,-4.9298964,-3.3846369,0,8,8420161.0,3,POINT (15893741 -4736042),15893741.0,-4736042.0
189,2.3806229,-5.4864173,-2.7066865,0,3,55218788.0,4,POINT (15893741 -4735442),15893741.0,-4735442.0
190,2.4519043,-6.2705545,-4.929487,0,1,2500668200.0,9,POINT (15893741 -4734842),15893741.0,-4734842.0
191,2.5914903,-5.778816,-3.3706803,0,2,327740600.0,8,POINT (15893741 -4734242),15893741.0,-4734242.0
192,2.7614913,-4.718711,-3.162561,0,0,118858350.0,0,POINT (15893741 -4733642),15893741.0,-4733642.0
193,2.449781,-5.5789013,-5.0775323,0,2,1609322100.0,8,POINT (15893741 -4733042),15893741.0,-4733042.0
194,2.1707554,-3.8165455,-3.4602308,0,0,19361182.0,0,POINT (15893741 -4732442),15893741.0,-4732442.0
195,2.1821632,-3.7253675,-3.0506797,0,0,9381339.0,0,POINT (15893741 -4731842),15893741.0,-4731842.0
196,2.3317528,-4.1378164,-3.8954506,0,0,74999280.0,0,POINT (15893741 -4731242),15893741.0,-4731242.0
197,2.2745132,-4.1994615,-2.8403301,0,0,14697876.0,0,POINT (15893741 -4730642),15893741.0,-4730642.0
198,2.9450269,-4.1415234,-3.450429,0,0,132011704.0,0,POINT (15894341 -4760642),15894341.0,-4760642.0
199,1.9406066,-4.1599197,-2.564035,0,0,3799546.8,0,POINT (15894341 -4760042),15894341.0,-4760042.0
200,2.121727,-5.608675,-2.394888,0,3,18800732.0,4,POINT (15894341 -4759442),15894341.0,-4759442.0
201,3.2299557,-7.1952744,-4.7731333,0,1,16797223000.0,9,POINT (15894341 -4758842),15894341.0,-4758842.0
202,3.469204,-7.2485275,-4.504608,0,1,18650182000.0,9,POINT (15894341 -4758242),15894341.0,-4758242.0
203,2.2845726,-6.0428,-3.4776883,0,4,255075740.0,5,POINT (15894341 -4757642),15894341.0,-4757642.0
204,1.9733586,-4.9565744,-3.130704,0,8,26924548.0,3,POINT (15894341 -4757042),15894341.0,-4757042.0
205,3.2762866,-6.1956224,-4.342951,0,1,5324254000.0,9,POINT (15894341 -4756442),15894341.0,-4756442.0
206,3.1042957,-7.421673,-4.548543,0,1,12638218000.0,9,POINT (15894341 -4755842),15894341.0,-4755842.0
207,3.166628,-7.112398,-4.722872,0,1,13617462000.0,9,POINT (15894341 -4755242),15894341.0,-4755242.0
208,3.371253,-5.980276,-4.052622,0,2,3641190700.0,8,POINT (15894341 -4754642),15894341.0,-4754642.0
209,2.7056727,-7.048338,-4.9857135,1,1,7770454500.0,9,POINT (15894341 -4754042),15894341.0,-4754042.0
210,2.421008,-6.9479294,-4.951503,1,1,4008145200.0,9,POINT (15894341 -4753442),15894341.0,-4753442.0
211,3.3787613,-5.5920873,-2.4625273,0,3,218053200.0,4,POINT (15894341 -4752842),15894341.0,-4752842.0
212,2.8750305,-6.949991,-4.708165,0,1,7368722400.0,9,POINT (15894341 -4752242),15894341.0,-4752242.0
213,3.5644536,-7.112358,-4.4891415,0,1,19091910000.0,9,POINT (15894341 -4751642),15894341.0,-4751642.0
214,3.6183157,-5.259856,-3.1113443,0,3,728017860.0,4,POINT (15894341 -4751042),15894341.0,-4751042.0
215,2.4163032,-5.2574215,-4.0485907,0,2,359865700.0,8,POINT (15894341 -4750442),15894341.0,-4750442.0
216,1.7654314,-4.7659035,-3.3805957,0,8,18618578.0,3,POINT (15894341 -4749842),15894341.0,-4749842.0
217,2.4619799,-5.841425,-5.1394873,0,2,2206050600.0,8,POINT (15894341 -4749242),15894341.0,-4749242.0
218,3.3599062,-5.1217146,-4.503083,0,2,2794232000.0,8,POINT (15894341 -4748642),15894341.0,-4748642.0
219,2.4842653,-6.5181627,-2.9509492,0,3,249129200.0,4,POINT (15894341 -4748042),15894341.0,-4748042.0
220,1.9747434,-6.476778,-4.3132267,0,1,510928060.0,9,POINT (15894341 -4747442),15894341.0,-4747442.0
221,1.7465076,-4.9231935,-2.3432555,0,0,3320360.8,0,POINT (15894341 -4746842),15894341.0,-4746842.0
222,2.5243635,-5.0306406,-3.1083179,0,3,95830320.0,4,POINT (15894341 -4746242),15894341.0,-4746242.0
223,2.083912,-5.330936,-2.8419204,0,3,31367038.0,4,POINT (15894341 -4745642),15894341.0,-4745642.0
224,3.278057,-4.5732336,-3.2070546,0,6,256880540.0,6,POINT (15894341 -4745042),15894341.0,-4745042.0
225,2.4802227,-4.965988,-2.2916822,0,3,17916522.0,4,POINT (15894341 -4744442),15894341.0,-4744442.0
226,3.1046195,-5.0727777,-4.812194,0,2,2500267800.0,8,POINT (15894341 -4743842),15894341.0,-4743842.0
227,2.24998,-3.9208546,-2.270298,0,0,3222636.2,0,POINT (15894341 -4743242),15894341.0,-4743242.0
228,1.9768639,-4.2051754,-2.2689037,0,0,2387177.0,0,POINT (15894341 -4742642),15894341.0,-4742642.0
